floor,cluster_id,cluster_type,input_rows,ransac_rows_used,ransac_warning,max_score,peak_index,peak_lat,peak_lon,peak_value,participating_cells,sum_w,sum_w_d2,weighted_sigma_m,alpha,raw_alpha_sigma_radius_m,grid_resolution_m,pre_merge_radius_m,max_participating_distance_m,min_participating_w,max_participating_w,merged_region_count,merged_regions_json
0.5,00:78:9e:fb:88:4a,static,8,7,RANSAC removed 1 outlier samples from cluster,5.4381821474015055,1,31.24989028598894,34.806291571966824,1.0,1435,936.6087732417565,1096719.2646065038,34.21910334200704,2.0,68.43820668401408,2.0,68.438,64.22258186640087,0.5003953543290492,1.0,1,"[{""center_lat"":31.2499851638728,""center_lon"":34.80611356565912,""radius_m"":111.1556428278418}]"
0.5,00:78:9e:fb:88:4a,static,8,7,RANSAC removed 1 outlier samples from cluster,5.4381821474015055,2,31.249908357966817,34.80633345580393,0.9998067570472371,1435,936.6087732417565,1220368.2718146848,36.096603850120076,2.0,72.19320770024015,2.0,72.193,68.68210291967625,0.5003953543290492,1.0,1,"[{""center_lat"":31.2499851638728,""center_lon"":34.80611356565912,""radius_m"":111.1556428278418}]"
0.5,00:78:9e:fb:88:4a,static,8,7,RANSAC removed 1 outlier samples from cluster,5.4381821474015055,3,31.250071005767726,34.80591461743287,0.6571381688818213,1435,936.6087732417565,1895399.4067694512,44.985366122554026,2.0,89.97073224510805,2.0,89.971,75.02285868466736,0.5003953543290492,1.0,1,"[{""center_lat"":31.2499851638728,""center_lon"":34.80611356565912,""radius_m"":111.1556428278418}]"
0.5,00:b8:c2:61:cb:05,static,19,16,RANSAC removed 3 outlier samples from cluster,14.61631376323873,1,31.24989028598894,34.806375339641036,1.0,473,328.6795478119984,125764.91206620637,19.561105948239145,2.0,39.12221189647829,2.0,39.122,33.399626389156076,0.5001881429554083,1.0,1,"[{""center_lat"":31.24989028598894,""center_lon"":34.80649052019308,""radius_m"":53.9272905518949}]"
0.5,00:b8:c2:61:cb:05,static,19,16,RANSAC removed 3 outlier samples from cluster,14.61631376323873,2,31.24989028598894,34.806605700745116,0.8916484422648338,473,328.6795478119984,151779.72034373053,21.48921414488725,2.0,42.9784282897745,2.0,42.978,38.30223530423271,0.5001881429554083,1.0,1,"[{""center_lat"":31.24989028598894,""center_lon"":34.80649052019308,""radius_m"":53.9272905518949}]"
0.5,00:b8:c2:a0:85:cc,static,13,13,,12.185354374728115,1,31.250052933789846,34.80633345580393,1.0,709,520.2402657849723,358359.4011762351,26.245655238748913,2.0,52.49131047749783,2.0,52.491,46.18303689987937,0.5001699153758186,1.0,1,"[{""center_lat"":31.249939983928105,""center_lon"":34.80628633648719,""radius_m"":66.83404671676315}]"
0.5,00:b8:c2:a0:85:cc,static,13,13,,12.185354374728115,2,31.249926429944697,34.80631251388537,0.957371009133739,709,520.2402657849723,368079.44956981356,26.59921402675094,2.0,53.19842805350188,2.0,53.198,47.14008448690787,0.5001699153758186,1.0,1,"[{""center_lat"":31.249939983928105,""center_lon"":34.80628633648719,""radius_m"":66.83404671676315}]"
0.5,00:b8:c2:a0:85:cc,static,13,13,,12.185354374728115,3,31.24989028598894,34.80624968812972,0.9555651453770176,709,520.2402657849723,361614.98421893455,26.364602483198258,2.0,52.729204966396516,2.0,52.729,45.84580534553153,0.5001699153758186,1.0,1,"[{""center_lat"":31.249939983928105,""center_lon"":34.80628633648719,""radius_m"":66.83404671676315}]"
0.5,00:b8:c2:b4:e6:b0,static,124,104,RANSAC removed 20 outlier samples from cluster,89.7410573379046,1,31.249926429944697,34.8061240366184,1.0,1252,894.8666886883673,788334.1978281103,29.680828013170558,2.0,59.361656026341116,2.0,59.362,56.61743769285491,0.5000683304859024,1.0,1,"[{""center_lat"":31.249926429944697,""center_lon"":34.8061240366184,""radius_m"":59.362}]"
0.5,00:f8:cc:b7:4d:90,static,38,38,,35.79855142002062,1,31.249854142033183,34.80622874621116,1.0,1546,1130.7265717398989,1309961.2394316304,34.036933307542675,2.0,68.07386661508535,2.0,68.074,65.53163330015548,0.500375958172615,1.0,1,"[{""center_lat"":31.24958758035947,""center_lon"":34.80612927209803,""radius_m"":126.61381333003345}]"
0.5,00:f8:cc:b7:4d:90,static,38,38,,35.79855142002062,2,31.249510774453487,34.80624968812972,0.9364309624003286,1546,1130.7265717398989,2426406.593681312,46.32367326088862,2.0,92.64734652177724,2.0,92.647,78.09486927032155,0.500375958172615,1.0,1,"[{""center_lat"":31.24958758035947,""center_lon"":34.80612927209803,""radius_m"":126.61381333003345}]"
0.5,00:f8:cc:b7:4d:90,static,38,38,,35.79855142002062,3,31.249492702475607,34.80601932702563,0.9202483838585163,1546,1130.7265717398989,2604856.8543132744,47.99689379402044,2.0,95.99378758804087,2.0,95.994,78.26334631050106,0.500375958172615,1.0,1,"[{""center_lat"":31.24958758035947,""center_lon"":34.80612927209803,""radius_m"":126.61381333003345}]"
